"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"29","MAJ_MIN",26,"hijack","NegWord","NegChord",1,6,607,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"30","MAJ_MIN",3,"gentle","PosWord","PosChord",2,10,457,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"31","MAJ_MIN",1,"sweet","PosWord","PosChord",2,7,534,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"32","MAJ_MIN",17,"sweet","PosWord","NegChord",2,7,423,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"33","MAJ_MIN",26,"hijack","NegWord","NegChord",1,4,546,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"34","MAJ_MIN",19,"gentle","PosWord","NegChord",2,4,614,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"35","MAJ_MIN",27,"death","NegWord","NegChord",1,4,501,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"36","MAJ_MIN",7,"comfy","PosWord","PosChord",2,11,484,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"37","MAJ_MIN",31,"dismal","NegWord","NegChord",1,7,522,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"38","MAJ_MIN",2,"lively","PosWord","PosChord",2,1,535,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"39","MAJ_MIN",18,"lively","PosWord","NegChord",2,5,493,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"40","MAJ_MIN",8,"relax","PosWord","PosChord",2,5,512,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"41","MAJ_MIN",32,"morgue","NegWord","NegChord",1,5,442,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"42","MAJ_MIN",4,"cuddle","PosWord","PosChord",2,8,509,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"43","MAJ_MIN",23,"comfy","PosWord","NegChord",2,1,665,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
