"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"31","MAJ_DIM",7,"comfy","PosWord","PosChord",2,2,428,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"32","MAJ_DIM",31,"dismal","NegWord","NegChord",1,6,426,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"33","MAJ_DIM",17,"sweet","PosWord","NegChord",2,10,405,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"34","MAJ_DIM",30,"fatal","NegWord","NegChord",1,5,418,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"35","MAJ_DIM",1,"sweet","PosWord","PosChord",2,8,472,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"36","MAJ_DIM",32,"morgue","NegWord","NegChord",1,6,515,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"37","MAJ_DIM",12,"vomit","NegWord","PosChord",1,3,474,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"38","MAJ_DIM",9,"rabid","NegWord","PosChord",1,6,508,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"39","MAJ_DIM",11,"death","NegWord","PosChord",1,6,369,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"40","MAJ_DIM",14,"fatal","NegWord","PosChord",1,5,491,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"41","MAJ_DIM",13,"arrest","NegWord","PosChord",1,4,594,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"42","MAJ_DIM",26,"hijack","NegWord","NegChord",1,7,451,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"43","MAJ_DIM",10,"hijack","NegWord","PosChord",1,6,397,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"44","MAJ_DIM",18,"lively","PosWord","NegChord",2,9,455,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
